State,County,Agency,Scraper,Website,Courts Website,What Data Exists,Code,FOIA Req Needed?,NIBRS?,2019 Population,Percent completion
Alabama,Autauga County,,,,,,,,,"55,869",4.961832061
Alabama,Baldwin County,,,,,,,,,"223,234",
Alabama,Barbour County,,,,,,,,,"24,686",
Alabama,Bibb County,,,https://www.muckrock.com/foi/bibb-county-4844/macon-ga-pd-citizen-complaints-41680/,,partial complaint data,,,,"22,394",
Alabama,Blount County,,,https://www.blounttn.org/Archive.aspx?AMID=38,,Only has total number of complaints,,,,"57,826",
Alabama,Bullock County,,,https://www.bullochsheriff.com/,,"Open request available, costs money",,FOIA,,"10,101",
Alabama,Butler County,,,,,,,,,"19,448",
Alabama,Calhoun County,,,,,,,,,"113,605",
Alabama,Chambers County,,,,,,,,,"33,254",
Alabama,Cherokee County,,,https://www.cherokeega-sheriff.org/?page_id=141,,Only has total number of complaints,,FOIA,,"26,196",
Alabama,Chilton County,,,,,,,,,"44,428",
Alabama,Choctaw County,,,,,,,,,"12,589",
Alabama,Clarke County,,,https://gradynewsource.uga.edu/accountability-in-accpd-police-complaints-go-through-specific-process/,,"proof that data exists, needs FOIA",,FOIA,,"23,622",
Alabama,Clay County,,,,,,,,,"13,235",
Alabama,Cleburne County,,,,,,,,,"14,910",
Alabama,Coffee County,,,,,,,,,"52,342",
Alabama,Colbert County,,,,,,,,,"55,241",
Alabama,Conecuh County,,,,,,,,,"12,067",
Alabama,Coosa County,,,,,,,,,"10,663",
Alabama,Covington County,,,,,,,,,"37,049",
Alabama,Crenshaw County,,,,,,,,,"13,772",
Alabama,Cullman County,,,,,,,,,"83,768",
Alabama,Dale County,,,,,,,,,"49,172",
Alabama,Dallas County,,,,,,,,,"37,196",
Alabama,DeKalb County,,,,,,,,,"71,513",
Alabama,Elmore County,,,https://elmorecounty.org/wp-content/uploads/2019/06/public-records-request-fillable-2019-06-05.pdf,,FOIA required,,FOIA,,"81,209",
Alabama,Escambia County,,,,,,,,,"36,633",
Alabama,Etowah County,,,,,,,,,"102,268",
Alabama,Fayette County,,,,,,,,,"16,302",
Alabama,Franklin County,,,,,,,,,"31,362",
Alabama,Geneva County,,,,,,,,,"26,271",
Alabama,Greene County,,,,,,,,,"8,111",
Alabama,Hale County,,,,,,,,,"14,651",
Alabama,Henry County,,,,,,,,,"17,205",
Alabama,Houston County,,,,,,,,,"105,882",
Alabama,Jackson County,,,,,,,,,"51,626",
Alabama,Jefferson County,,,,,,,,,"658,573",
Alabama,Lamar County,,,,,,,,,"13,805",
